"sex","aage","AJBHRS","ancars","ahhsize","aqfedhi","arace","aregion","atenure","avote","afiyr"
1,44,37,"2","6","1","1","6","2","3",21732.05078125
1,42,50,"2","2","10","1","18","2","1",26682.966796875
2,27,37,"2","2","3","1","13","2","1",1797.7517089844
1,31,37,"1","4","4","1","5","2","1",16206.9287109375
1,29,40,"2","3","12","1","7","2","1",7539.5405273438
1,34,40,"1","4","7","1","10","2","2",26892.474609375
1,18,40,"2","3","4","1","2","2","1",14177.580078125
2,19,15,"1","5","4","1","1","3","10",3120
1,31,39,"1","3","4","1","16","2","1",12605.0810546875
2,42,5,"1","5","6","1","4","2","2",1887.712890625
2,63,14,"0","2","12","1","6","6","3",4780.5224609375
2,65,4,"1","1","7","1","3","1","1",8599.63671875
1,31,37,"2","4","4","1","16","2","8",22208.775390625
2,49,32,"1","2","12","1","7","2","2",7130.7622070313
1,42,45,"1","5","7","1","4","2","1",10412.0595703125
2,37,37,"0","1","6","1","18","2","4",9198.3125
1,45,30,"2","2","4","1","3","2","1",19180.01171875
2,45,30,"0","2","4","1","3","2","2",17984
2,33,5,"1","5","7","1","16","2","1",2647.4694824219
1,18,40,"1","2","7","1","3","2","6",1644.1857910156
2,26,38,"2","4","2","1","18","7","1",10116.0400390625
2,45,30,"2","4","7","1","3","2","1",8667.2236328125
1,64,23,"1","2","12","1","14","1","2",1638
2,21,40,"0","1","7","1","1","5","2",12015.83984375
1,27,38,"1","2","4","1","10","2","2",20773.71875
1,35,35,"1","4","7","1","2","2","1",18973.748046875
2,38,37,"1","3","7","1","18","2","4",9854.185546875
1,34,40,"2","4","6","1","10","2","2",10604.111328125
2,59,12,"1","2","12","1","4","2","2",2016
1,48,37,"2","3","4","1","4","2","1",19740
2,42,28,"0","2","12","9","3","3","2",6579.5224609375
2,44,37,"1","2","1","1","17","2","2",32557.5390625
1,56,30,"1","2","2","1","4","1","1",21814.318359375
2,17,10,"1","3","7","1","10","1","11",1581.5543212891
2,35,12,"2","4","7","1","2","2","1",4770.263671875
2,24,37,"1","2","7","1","13","2","10",6673.7924804688
1,34,39,"1","4","12","1","4","2","2",13083.7197265625
2,60,20,"1","1","1","1","2","1","3",20332.53515625
1,51,40,"0","3","12","1","7","1","2",11313.7998046875
1,31,40,"1","4","7","1","18","3","2",12009.23828125
2,42,30,"2","2","3","1","4","2","1",16206.466796875
2,52,37,"0","2","8","1","15","1","10",13936.8232421875
2,53,35,"1","1","3","1","2","2","1",15468.6201171875
2,31,37,"1","1","2","1","15","2","2",15201.236328125
1,33,37,"0","4","9","1","6","2","1",8480.759765625
2,44,16,"2","4","12","1","3","2","1",1079.7336425781
2,45,40,"1","3","8","3","2","2","2",8632
2,24,33,"1","2","2","1","15","2","2",10546.3466796875
1,21,45,"1","1","6","1","12","2","2",9404.66796875
1,64,20,"1","2","10","1","3","1","1",9716
1,60,50,"1","3","12","1","3","1","2",7082.3798828125
1,62,38,"2","2","4","1","11","1","1",26502.7265625
1,48,37,"1","1","5","1","3","2","1",15666.466796875
1,17,33,"1","5","7","1","8","2","1",4867.9838867188
1,42,37,"1","4","4","1","3","1","3",18341.12890625
1,21,2,"3","5","6","1","3","2","10",4206.3447265625
2,40,34,"1","4","12","1","18","3","2",10396.560546875
2,30,42,"2","3","6","1","6","2","2",7948.4448242188
1,35,24,"2","3","4","1","6","2","2",14392.41796875
2,36,37,"2","2","6","1","6","6","2",5510
1,52,54,"0","2","12","1","1","2","1",10196.2001953125
2,42,42,"3","4","7","1","6","2","1",7904.0283203125
1,41,39,"1","4","10","1","11","2","2",10370.419921875
1,32,39,"1","4","7","1","2","2","2",15920.97265625
1,45,35,"1","3","7","1","3","2","1",20216.8515625
1,25,40,"1","1","7","1","3","2","2",10396.5
1,48,40,"1","1","4","1","2","7","10",20848.2265625
2,25,17,"0","4","8","1","13","3","2",2471.4790039063
1,27,40,"3","4","4","1","3","2","2",15415.5771484375
1,23,35,"3","2","2","1","17","7","7",381.0073547363
2,52,18,"1","2","12","1","3","2","1",2424
1,31,37,"2","3","2","1","4","2","3",18265.119140625
1,32,40,"1","7","7","1","14","2","2",16866.466796875
1,43,35,"1","1","4","1","11","2","1",21524.345703125
2,28,16,"1","3","7","1","18","2","2",3462.1608886719
1,19,40,"1","3","9","1","17","2","2",3434.9614257813
2,39,24,"2","4","8","1","6","2","1",4872.05078125
1,22,44,"2","2","7","1","11","7","10",7677.1689453125
2,31,22,"1","4","10","1","16","2","1",3570.9772949219
1,18,38,"2","4","6","1","6","5","6",6268
2,22,20,"2","2","6","1","2","2","2",10788.1865234375
1,17,37,"1","4","7","1","6","2","3",1779.1290283203
1,22,35,"2","4","6","1","8","2","3",5142.6899414063
2,38,6,"1","6","12","1","3","3","1",2787.2758789063
